N,Average Comparisons Brute Force,Average Execution Time Brute Force,Median Brute Force,Average Comparisons Partition Median,Average Execution Time Partition Median,Median Partition Median
0,3,0.38,0,0,0.38,5
200,20258,126.83,4810,332,5.62,4945
400,80920,471.79,4790,658,9.13,4790
600,170292,995.3,5150,963,13.22,5151
800,323096,1871.13,4986,1223,16.05,4997
1000,481360,2870.06,4829,1587,20.58,4832
1200,695436,4079.25,5010,1897,24.46,5012
1400,827400,4763.25,5048,2487,28.81,5066
1600,1149248,6852.19,5115,2648,33.48,5118
1800,1548360,9429.23,4962,2887,37.94,4975
2000,1935880,11369.7,4799,3286,39.37,4800
2200,2252272,12921.2,4928,3702,41.51,4936
2400,2572536,14759.2,4950,4059,47.1,4952
2600,2871258,16707.5,5095,3970,50.37,5095
2800,3433136,20292.2,5055,4874,58.14,5060
3000,4290300,24936.8,5093,5126,62.27,5096
3200,4169536,24406.8,4983,5427,63.41,4991
3400,4832114,28088.2,4946,5623,66.72,4947
3600,5552316,33429.4,5022,5985,70.66,5024
3800,7169042,43770.4,4988,6494,76.49,4989
4000,7351600,44794.7,4958,7136,84.62,4959
4200,7578858,45507.6,4969,7183,83.83,4971
4400,8931252,53884.5,5033,7560,90.79,5035
4600,8751592,53245.8,4981,8232,95.44,4982
4800,9547344,57447.1,5077,8113,99.74,5079
5000,10806050,65137.1,5098,8640,102.87,5101
5200,12142104,73684.8,4998,8245,99.97,4998
5400,11772432,73236.2,5061,9226,113.05,5064
5600,13643280,81967.7,5026,9521,113.46,5029
5800,15218156,88915.1,5035,9707,113.08,5038
6000,15909420,99720.1,5076,10392,128.75,5077
6200,16704846,99422.5,5059,10549,120.23,5063
6400,15800640,90754.7,5088,10681,119.3,5091
6600,16950252,99850,5134,11983,135.45,5135
6800,19678452,115194,5015,11345,131.6,5015
7000,20870290,125824,4894,12778,147.2,4895
7200,19909224,119624,4912,11921,140.43,4913
7400,19661652,119607,5054,12141,145.32,5054
7600,23742248,146124,5037,12006,145.86,5037
7800,25726506,154353,5020,12907,151.97,5021
